id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Month
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.26726,-123.05969,Entire home/apt,138,5,88,2018-09-10,0.92,1,282,01-Apr
118513,"White Orchid - Super comfy bed, Steps-2 Skytrain",597619,Rozsa,,Renfrew-Collingwood,49.24571,-123.04788,Private room,61,30,34,2018-10-01,0.37,2,83,01-Apr
125081,One step away from the Drive!,69746,Serge & Brigitte,,Grandview-Woodland,49.26772,-123.06551,Private room,85,3,163,2019-03-15,1.47,2,265,01-Apr
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24648,-123.09241,Entire home/apt,111,2,411,2019-04-04,4.39,1,187,01-Apr
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24507,-123.04941,Private room,44,30,50,2019-02-16,0.59,2,233,01-Apr
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,,Grandview-Woodland,49.26785,-123.06612,Private room,80,3,180,2019-04-05,1.89,2,213,01-Apr
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24493,-123.04916,Private room,39,30,37,2018-12-15,0.4,5,216,01-Apr
140698,"(Phone number hidden by Airbnb) Heritage Loft, Main/Broadway (BL# (Phone number hidden by Airbnb)",69640,Steve,,Mount Pleasant,49.26292,-123.10581,Entire home/apt,99,5,96,2019-03-26,1.01,1,236,01-Apr
160157,City Centre and Walk to Beach,767559,Valentina,,West End,49.28232,-123.12954,Entire home/apt,108,2,404,2019-03-15,4.29,1,111,01-Apr
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.2571,-123.19101,Entire home/apt,174,1,115,2019-03-27,1.24,1,222,01-Apr
172827,Charming and Homely Downtown Penthouse - Sleeps 6!,19982,Fernande,,West End,49.28161,-123.12696,Entire home/apt,250,2,4,2019-01-05,0.46,1,0,01-Apr
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27782,-123.08985,Entire home/apt,100,30,116,2018-04-04,1.26,1,23,01-Apr
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25962,-123.16848,Entire home/apt,93,30,51,2018-12-25,0.55,3,96,01-Apr
194806,D28 - Spectacular 2 bedroom,30899,Rami,,Downtown,49.27936,-123.10934,Entire home/apt,125,30,28,2019-02-03,0.31,32,313,01-Apr
196722,"Three bedrooms, fantastic location!",958297,Elana & Gary,,Grandview-Woodland,49.26364,-123.06967,Entire home/apt,208,5,11,2019-01-05,0.19,2,46,01-Apr
200643,This is the door to Vancouver USW,981145,Dianne,,Downtown Eastside,49.27384,-123.08289,Private room,71,1,95,2019-03-23,1.19,4,292,01-Apr
202211,Trout Lake Haven !,989790,Paul,,Kensington-Cedar Cottage,49.25381,-123.05951,Private room,75,2,158,2018-09-15,1.71,4,2,01-Apr
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.27246,-123.14954,Entire home/apt,200,1,132,2019-04-06,4.18,2,197,01-Apr
226731,Vancouver central- 1bdrm private condo,560892,Vancouver Furnished,,Downtown,49.28406,-123.11598,Entire home/apt,166,30,10,2018-09-23,0.15,2,365,01-Apr
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29074,-123.05849,Entire home/apt,80,31,1,2014-09-04,0.02,1,65,01-Apr
248973,East Vancouver Hidden Gem,1304461,Shelley,,Hastings-Sunrise,49.28053,-123.05494,Entire home/apt,140,2,73,2019-03-13,0.81,2,258,01-Apr
249106,East Vancouver Loft,1304461,Shelley,,Hastings-Sunrise,49.28035,-123.05365,Shared room,45,2,80,2019-03-23,0.88,2,220,01-Apr
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28273,-123.10492,Entire home/apt,198,2,55,2018-09-23,0.75,1,10,01-Apr
256178,Luxury Coach House in Kitsilano license (Phone number hidden by Airbnb),1267409,Julia,,Kitsilano,49.26291,-123.17216,Entire home/apt,300,2,5,2018-11-13,0.06,2,220,01-Apr
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,,Kensington-Cedar Cottage,49.24003,-123.0639,Private room,67,3,37,2018-09-23,0.42,1,7,01-Apr
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,,Downtown,49.27796,-123.12671,Entire home/apt,99,180,52,2018-10-28,0.58,1,335,01-Apr
274284,fabulous view over false creek  ,1424264,James,,Downtown,49.27552,-123.10251,Entire home/apt,266,30,36,2018-07-27,0.41,1,304,01-Apr
303950,"West Coast Stunner!  Mountain view, central",196890,Siobhan,,Mount Pleasant,49.26225,-123.08421,Entire home/apt,236,3,23,2018-02-28,0.33,1,143,01-Apr
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23311,-123.02669,Private room,67,2,58,2019-02-22,0.73,2,95,01-Apr
322824,Modern yaletown apartment with view!,1652613,Blake,,Downtown,49.27706,-123.12438,Entire home/apt,170,31,139,2019-03-30,1.63,1,95,01-Apr
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Trish,,Grandview-Woodland,49.26634,-123.06207,Entire home/apt,80,3,169,2019-03-11,2.01,2,290,01-Apr
359942,Stylish Dwntwn Condo-female/couple ,1200456,Nala,,Downtown,49.27825,-123.11865,Private room,252,30,41,2018-09-18,0.48,7,365,01-Apr
363705,This is the door to Vancouver USE,981145,Dianne,,Downtown Eastside,49.27711,-123.07861,Private room,67,1,72,2019-03-24,0.86,4,271,01-Apr
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.279,-123.06977,Private room,51,30,54,2018-11-13,0.67,1,339,01-Apr
415700,"LARGE PRIVATE ROOM+BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.23468,-123.05508,Private room,51,3,167,2019-02-23,1.96,3,297,01-Apr
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,,Downtown Eastside,49.27782,-123.09209,Entire home/apt,111,2,182,2019-03-10,2.16,1,141,01-Apr
419437,Trout  Lake  Haven,989790,Paul,,Kensington-Cedar Cottage,49.25231,-123.06134,Private room,75,2,85,2018-09-15,1,4,270,01-Apr
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28297,-123.10393,Entire home/apt,245,4,61,2019-03-12,0.73,1,25,01-Apr
438881,Small private room close to Airport,1405499,Marcel,,Marpole,49.20623,-123.13637,Private room,27,32,62,2019-03-11,0.73,1,99,01-Apr
448104,Modern Charm in Downtown Vancouver,179396,Lili,,West End,49.28145,-123.12582,Entire home/apt,138,28,242,2019-01-20,2.88,5,70,01-Apr
461370,Lovely large room w/ private bath ,1200456,Nala,,Killarney,49.22814,-123.03149,Private room,87,2,40,2018-09-03,0.49,7,365,01-Apr
461386,Beautiful room (s) Vancouver Home ,1200456,Nala,,Killarney,49.22846,-123.03121,Private room,87,2,31,2018-09-01,0.37,7,365,01-Apr
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN,2356016,Jocelyn,,Downtown Eastside,49.28339,-123.10453,Entire home/apt,350,1,95,2019-03-24,1.37,1,306,01-Apr
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.27996,-123.11684,Entire home/apt,120,31,154,2019-02-02,1.87,1,269,01-Apr
497641,Spacious Blue Room in Large House,2456973,Jeanette,,Fairview,49.2589,-123.12998,Private room,100,30,24,2018-08-03,0.29,7,284,01-Apr
498112,"Renovated, modern house with 2 kitchens",2459577,Allison,,Kensington-Cedar Cottage,49.2487,-123.07002,Entire home/apt,375,5,22,2018-08-16,0.27,2,273,01-Apr
504154, Bright & Spacious Rooms near VGH,2456973,Jeanette,,Shaughnessy,49.25705,-123.13174,Private room,100,30,15,2018-10-31,0.18,7,245,01-Apr
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.2775,-123.12296,Entire home/apt,230,31,2,2014-08-31,0.03,19,334,01-Apr
523272,Adorable 3 Bedroom Cambie Craftsman,2572830,Katie,,South Cambie,49.25529,-123.11692,Entire home/apt,236,3,27,2019-03-29,0.33,1,214,01-Apr
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kristen,,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,330,1,20,2018-10-14,0.29,2,312,01-Apr
556941,Gorgeous Chinatown condo,2738423,Laurence,,Downtown Eastside,49.27765,-123.09927,Entire home/apt,105,5,52,2019-03-12,0.64,1,0,01-Apr
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,71,30,184,2018-08-29,2.24,2,98,01-Apr
569160,Sunny Sunset Beach & Davie Street,2799473,Heath,,West End,49.2788,-123.12968,Entire home/apt,125,28,41,2019-03-02,0.51,1,236,01-Apr
622217,Vancouver DownTown 1400sqf Sub-penthouse 270*view,3084195,Sherry,,Downtown,49.27801,-123.10715,Entire home/apt,495,3,10,2019-03-11,0.14,2,335,01-Apr
625396,Close to Jericho beach garden level loft.,3102862,The Vancouver Connection!,,Kitsilano,49.27063,-123.18412,Entire home/apt,198,2,137,2019-03-07,1.69,2,263,01-Apr
637617,Commercial Drive Character Suite,3181196,Alison,,Grandview-Woodland,49.27827,-123.07237,Entire home/apt,150,6,18,2019-03-29,0.22,1,172,01-Apr
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26966,-123.06855,Entire home/apt,80,30,52,2018-11-04,0.65,1,42,01-Apr
648278,"Furnished ,spacious rooms, near VGH",2456973,Jeanette,,Fairview,49.25903,-123.13166,Private room,111,30,10,2018-07-11,0.16,7,332,01-Apr
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29262,-123.14143,Entire home/apt,165,30,53,2019-03-31,0.74,1,273,01-Apr
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.25145,-123.07335,Entire home/apt,77,30,21,2019-02-08,0.29,2,273,01-Apr
670259,Cozy room in 100 year old home,2818180,Shannon,,Kensington-Cedar Cottage,49.2619,-123.07239,Private room,60,30,87,2019-03-31,1.17,1,157,01-Apr
688038,Vancouver's Beach At Your Doorstep,268742,Kayla,,West End,49.27911,-123.13774,Entire home/apt,296,2,27,2018-12-30,0.35,1,281,01-Apr
688828,3 bedroom family home in amazing location,1465740,Helene,,Kitsilano,49.27063,-123.17998,Entire home/apt,258,3,7,2016-08-31,0.16,1,26,01-Apr
703179,Cute room in a condo full of art,3246254,Izabela,,Downtown Eastside,49.28115,-123.10778,Private room,79,2,97,2019-03-30,1.27,1,146,01-Apr
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28081,-123.13615,Entire home/apt,134,30,72,2018-12-18,1.02,1,254,01-Apr
727856,1 bedroom apartment - Amazing Location,560892,Vancouver Furnished,,Downtown,49.28387,-123.11732,Entire home/apt,121,30,4,2017-07-03,0.09,2,304,01-Apr
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.2595,-123.18244,Entire home/apt,150,31,8,2018-10-31,0.12,1,214,01-Apr
732895,Best Location in Downtown - Bright Beautiful 1bdr,179396,Lili,,Downtown,49.28195,-123.12383,Entire home/apt,138,28,190,2019-01-11,2.47,5,129,01-Apr
735468,ENGLISH BAY VIEWS,3462044,Shea,,West End,49.2827,-123.13595,Entire home/apt,150,2,47,2019-03-24,4.12,1,326,01-Apr
736244,Kitsilano Garden Suite West,3842332,Lynn,,Kitsilano,49.26728,-123.18513,Entire home/apt,149,4,271,2019-03-07,3.49,4,118,01-Apr
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,,Kitsilano,49.25938,-123.16551,Entire home/apt,125,5,52,2019-03-22,0.75,1,15,01-Apr
763445,Very Convenient Mini-suite,169365,Peter,,Renfrew-Collingwood,49.24628,-123.04341,Entire home/apt,41,2,126,2019-03-24,1.65,1,15,01-Apr
766540,BEAUTIFUL SHAUNGHNESSY MANSION,4042017,Balfour,,Shaughnessy,49.2509,-123.12861,Private room,80,2,12,2018-08-21,0.36,5,44,01-Apr
771366,Gorgeous and Spacious Yaletown LEVEL Suite,2502595,LEVEL Furnished Living,,Downtown,49.27784,-123.12212,Entire home/apt,200,31,2,2014-07-02,0.03,19,334,01-Apr
771380,Stunning Two Bedroom Unit in Downtown Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.27897,-123.12195,Entire home/apt,350,31,7,2014-10-01,0.1,19,362,01-Apr
784153,The Garden Quarter in Kitsilano,3211112,Rasha,,Kitsilano,49.26242,-123.1737,Entire home/apt,67,30,37,2019-01-31,0.48,3,78,01-Apr
785297,The Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26364,-123.17482,Private room,47,14,47,2019-03-31,0.61,3,166,01-Apr
785752,The Garden Nook in Kitsilano,3211112,Rasha,,Kitsilano,49.26296,-123.1735,Entire home/apt,114,30,3,2016-09-17,0.04,3,112,01-Apr
795978,Luxury Suite with Private Balcony,4191094,Kelly,,Downtown,49.27527,-123.11586,Entire home/apt,325,180,6,2016-08-24,0.09,2,89,01-Apr
798293,Studio apartment-like a 3+star hotel,72649,Melanie,,West End,49.27849,-123.13193,Entire home/apt,109,90,53,2019-01-24,0.69,1,222,01-Apr
801222,fully furnished suite near VGH,4217281,Jennifer,,Fairview,49.25848,-123.12257,Entire home/apt,111,30,20,2017-07-29,0.27,3,221,01-Apr
824612,East Village Private Garden Gem!,4326869,Marketa,,Hastings-Sunrise,49.28648,-123.05395,Entire home/apt,84,31,54,2019-04-04,0.71,1,170,01-Apr
828920,1 bedroom+Den Monthly rentals only,4345039,Biljana,,Downtown,49.27347,-123.12012,Entire home/apt,144,30,3,2018-06-03,0.06,1,334,01-Apr
838336,"3 BEDROOM, 3 LEVEL TOWNHOUSE",4372257,Steve & Sonia,,Mount Pleasant,49.25788,-123.10925,Entire home/apt,450,5,12,2018-08-25,0.17,1,166,01-Apr
874731,Sunny room with private bathroom  near VGH,2216706,Matthew,,Fairview,49.25728,-123.12122,Private room,69,3,28,2018-07-08,0.39,1,58,01-Apr
875309,Heritage Home near Kits Beach,4621004,Judy,,Kitsilano,49.26965,-123.16351,Entire home/apt,276,7,30,2018-11-18,0.4,1,183,01-Apr
885600,"Dunbar near UBC, modern + clean",4693732,David & Patti,,Dunbar Southlands,49.24721,-123.18622,Entire home/apt,130,3,161,2019-04-05,2.16,1,235,01-Apr
906964,"Amazing, modern, clean apt just off Commercial Dr",4856368,Kris,,Grandview-Woodland,49.27321,-123.0707,Entire home/apt,118,2,102,2019-03-17,1.54,1,218,01-Apr
911099,bright furnished room in shared 2 bdrm suite,70437,Ran,,Mount Pleasant,49.26562,-123.09673,Private room,55,30,6,2019-03-05,0.08,2,133,01-Apr
941216,Beautiful Downtown Luxury Rental,5088083,Sahar,,Downtown,49.28038,-123.10612,Entire home/apt,95,30,3,2019-02-25,0.4,1,191,01-Apr
951782,West King Edward Bedroom2,5164882,Dagmar & Angelo,,Dunbar Southlands,49.25113,-123.18386,Private room,32,31,18,2018-12-20,0.29,2,41,01-Apr
958090,Private apartment-Yaletown Downtown,1200456,Nala,,Downtown,49.27697,-123.11616,Entire home/apt,371,30,10,2013-09-30,0.14,7,365,01-Apr
961692,"PRIVATE ENT. GARDEN SUITE
Savings= WK 20%  MTH 50%",5237545,Valerie,,Hastings-Sunrise,49.29186,-123.02504,Entire home/apt,130,3,35,2018-10-28,0.49,1,192,01-Apr
966003,$90 Special Downtown Van 180 Degree Water View,5268156,Sharon & Allan,,Downtown,49.2803,-123.10788,Entire home/apt,149,2,195,2019-04-09,2.86,4,174,01-Apr
980511,"261 Yaletown Studio at ""Space""",600607,Bruce,,Downtown,49.2764,-123.12547,Entire home/apt,71,30,4,2016-10-31,0.08,50,66,01-Apr
994969,152 Studio (no Bedroom),600607,Bruce,,Downtown,49.27994,-123.12554,Entire home/apt,79,32,1,2013-09-17,0.01,50,5,01-Apr
995174,159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,600607,Bruce,,West End,49.28839,-123.12777,Entire home/apt,89,32,10,2018-03-10,0.14,50,37,01-Apr
1007137,S2-LUXURIOUS 2-BR/2-Baths/2-Balcony,5539641,Selina,,Downtown,49.28031,-123.1267,Entire home/apt,280,180,2,2014-05-23,0.03,2,365,01-Apr
1007144,S1-VIBRANT DOWNTOWN 1-BR + den!  ,5539641,Selina,,Downtown,49.27837,-123.12582,Entire home/apt,180,180,1,2013-06-02,0.01,2,365,01-Apr
