id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Month
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Mj,,Sunset,49.22293079,-123.0778516,Entire home/apt,56,31,464,2018-10-07,4.99,2,225,01-Jan
98830,Your Downtown Getaway !,520997,Cristina,,Downtown,49.27981662,-123.1250902,Entire home/apt,119,5,239,2019-01-05,2.55,1,52,01-Jan
102268,Cozy and large studio,514310,Bibi,,Riley Park,49.25042062,-123.1027914,Entire home/apt,60,30,97,2018-12-31,1.06,1,251,01-Jan
104346,"Vancouver BC Canada, Downtown,private entrance",543076,Marie-Line,,Downtown Eastside,49.27817605,-123.0891295,Entire home/apt,105,1,246,2019-01-10,3.65,1,320,01-Jan
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.26726304,-123.0596887,Entire home/apt,139,3,88,2018-09-10,0.95,1,364,01-Jan
118513,"White Orchid - Super comfy bed, Steps-2 Skytrain",597619,Rozsa,,Renfrew-Collingwood,49.24570719,-123.0478789,Private room,61,30,34,2018-10-01,0.38,2,181,01-Jan
125081,One step away from the Drive!,69746,Serge & Brigitte,,Grandview-Woodland,49.2677213,-123.065508,Private room,85,3,159,2018-11-11,1.47,2,310,01-Jan
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24648209,-123.092413,Entire home/apt,110,2,393,2019-01-10,4.33,1,145,01-Jan
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24507042,-123.0494075,Private room,44,30,49,2018-12-31,0.6,2,300,01-Jan
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,,Grandview-Woodland,49.26785057,-123.066117,Private room,80,5,174,2018-12-09,1.89,2,289,01-Jan
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24493454,-123.0491597,Private room,38,30,37,2018-12-15,0.41,5,167,01-Jan
140698,"1905 Neo-Edwardian Heritage Loft, Olympic Village",69640,Steve,,Mount Pleasant,49.26291607,-123.1058067,Entire home/apt,100,5,94,2019-01-01,1.02,1,280,01-Jan
160157,City Centre and Walk to Beach,767559,Valentina,,West End,49.28232093,-123.1295412,Entire home/apt,107,2,390,2018-12-22,4.27,1,31,01-Jan
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.25709572,-123.1910119,Entire home/apt,175,1,104,2018-12-17,1.16,1,242,01-Jan
172827,2bed/2bath Penthouse in Heart of Downtown.,19982,Fernande,,West End,49.28161296,-123.1269624,Entire home/apt,249,2,3,2018-08-19,0.52,1,26,01-Jan
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27782419,-123.089847,Entire home/apt,96,30,116,2018-04-04,1.3,1,243,01-Jan
179243,❤️ Private Room in Brick Loft Apt,851779,Elizabeth & Ryan,,Mount Pleasant,49.25813019,-123.1017673,Private room,96,2,522,2019-01-04,5.78,2,170,01-Jan
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25961968,-123.1684768,Entire home/apt,93,30,51,2018-12-25,0.56,2,12,01-Jan
194806,D28 - Spectacular 2 bedroom,30899,Rami,,Downtown,49.27935587,-123.1093413,Entire home/apt,125,30,27,2018-04-09,0.31,28,313,01-Jan
196722,"Three bedrooms, fantastic location!",958297,Elana & Gary,,Grandview-Woodland,49.26364274,-123.0696723,Entire home/apt,208,5,11,2019-01-05,0.2,2,152,01-Jan
200643,This is the door to Vancouver USW,981145,Dianne,,Downtown Eastside,49.2738388,-123.0828908,Private room,70,1,86,2018-12-07,1.12,4,346,01-Jan
202211,Trout Lake Haven !,989790,Paul,,Kensington-Cedar Cottage,49.25380861,-123.0595091,Private room,76,2,158,2018-09-15,1.76,4,48,01-Jan
219261,A Real Gem in the Heart of Kits,1135259,Rami,,Kitsilano,49.27246289,-123.1495382,Entire home/apt,200,1,120,2019-01-05,4.18,1,214,01-Jan
236297,West End Retreat - Private Room/Bath,1238915,Adam,,West End,49.29000287,-123.1408745,Private room,100,1,34,2018-10-03,0.63,1,89,01-Jan
248014,"Stunning views, comfort, location!!",1299977,Gabriella,,Grandview-Woodland,49.29073885,-123.0584897,Entire home/apt,80,31,1,2014-09-04,0.02,1,31,01-Jan
248973,East Vancouver Hidden Gem,1304461,Shelley,,Hastings-Sunrise,49.2805309,-123.0549404,Entire home/apt,141,2,72,2019-01-06,0.83,2,0,01-Jan
249106,East Vancouver Loft,1304461,Shelley,,Hastings-Sunrise,49.28034991,-123.0536489,Shared room,45,2,78,2018-12-20,0.89,2,227,01-Jan
254657,Heritage Loft in heart of Gastown,241920,Scott,,Downtown Eastside,49.28273396,-123.1049171,Entire home/apt,222,2,55,2018-09-23,0.79,1,0,01-Jan
256178,Luxury Coach House in Kitsilano license (Phone number hidden by Airbnb),1267409,Julia,,Kitsilano,49.26290805,-123.1721601,Entire home/apt,300,2,5,2018-11-13,0.07,2,231,01-Jan
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,,Kensington-Cedar Cottage,49.24003271,-123.0638955,Private room,68,3,37,2018-09-23,0.44,1,89,01-Jan
266307,Main St and Queen Elizabeth Park,1396322,Erika,,Riley Park,49.2481232,-123.1033063,Private room,215,2,46,2018-09-21,0.59,1,251,01-Jan
274284,fabulous view over false creek  ,1424264,James,,Downtown,49.27552442,-123.1025127,Entire home/apt,265,30,36,2018-07-27,0.42,1,304,01-Jan
303950,"West Coast Stunner!  Mountain view, central",196890,Siobhan,,Mount Pleasant,49.26224897,-123.0842145,Entire home/apt,236,31,23,2018-02-28,0.35,1,365,01-Jan
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,,Renfrew-Collingwood,49.23311381,-123.0266876,Private room,66,2,57,2019-01-02,0.74,2,153,01-Jan
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,,Grandview-Woodland,49.2641466,-123.0700771,Entire home/apt,200,30,3,2018-03-30,0.22,9,0,01-Jan
322824,Modern yaletown apartment with view!,1652613,Blake,,Downtown,49.27706214,-123.1243798,Entire home/apt,171,31,137,2018-12-08,1.66,1,0,01-Jan
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Trish,,Grandview-Woodland,49.26633754,-123.0620737,Entire home/apt,80,3,164,2019-01-08,2.02,2,300,01-Jan
344443,Centrally Located Room 4 Student *Meals Included!,1747192,Lee-Anne,,Mount Pleasant,49.26981401,-123.1101951,Private room,65,30,17,2018-12-24,0.22,1,328,01-Jan
359942,Stylish Dwntwn Condo-female/couple ,1200456,Nala,,Downtown,49.2782542,-123.1186546,Private room,251,2,41,2018-09-18,0.49,6,365,01-Jan
363705,This is the door to Vancouver USE,981145,Dianne,,Downtown Eastside,49.27710962,-123.0786083,Private room,68,1,69,2018-10-07,0.86,4,320,01-Jan
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,,Grandview-Woodland,49.27900016,-123.0697694,Private room,37,30,54,2018-11-13,0.69,1,335,01-Jan
415700,"LARGE PRIVATE ROOM+BATH, SEPARATE ENTRY, KING BED",83871,Adam,,Renfrew-Collingwood,49.23467624,-123.0550849,Private room,50,1,164,2018-12-17,2,3,256,01-Jan
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,,Downtown Eastside,49.27781855,-123.0920945,Entire home/apt,100,2,177,2018-10-03,2.17,1,139,01-Jan
